HEI Course Code,INSTITUTION and COURSE,EOS,Mid,,
"Athlone Institute of Technology",AL801,Software Design with Virtual Reality and Gaming,304,328
"Athlone Institute of Technology",AL802,Software Design with Cloud Computing,301,306
"Athlone Institute of Technology",AL803,Software Design with Mobile Apps and Connected Devices,309,337
"Athlone Institute of Technology",AL805,Network Management and Cloud Infrastructure,329,442
"Athlone Institute of Technology",AL810,Quantity Surveying,307,349
"Athlone Institute of Technology",AL820,Mechanical and Polymer Engineering,300,358
"Athlone Institute of Technology",AL830,General Nursing,410,429
"Athlone Institute of Technology",AL832,Psychiatric Nursing,387,403
"Athlone Institute of Technology",AL836,Nutrition and Health Science,352,383
"Athlone Institute of Technology",AL837,Sports Science with Exercise Physiology,351,392
"Athlone Institute of Technology",AL838,Biotechnology,302,372
"Athlone Institute of Technology",AL839,Microbiology,322,371
"Athlone Institute of Technology",AL840,Pharmaceutical Sciences,328,411
"Athlone Institute of Technology",AL841,Athletic and Rehabilitation Therapy,423,430
"Athlone Institute of Technology",AL842,Bioveterinary Science,310,366
"Athlone Institute of Technology",AL843,Physical Activity and Health Science,310,330
"Athlone Institute of Technology",AL850,Business,307,356
"Athlone Institute of Technology",AL851,Business and Law,301,341
"Athlone Institute of Technology",AL852,Accounting (with optional placement),290,346
"Athlone Institute of Technology",AL853,Accounting and Law,305,320
"Athlone Institute of Technology",AL855,Hospitality Management (with International placement),312,357
"Athlone Institute of Technology",AL857,Digital Marketing,300,360
"Athlone Institute of Technology",AL860,Social Care Practice,309,338
"Athlone Institute of Technology",AL861,Animation and Illustration (portfolio),#615,899
"Athlone Institute of Technology",AL863,Graphic and Digital Design (portfolio),#703,898
"Athlone Institute of Technology",AL864,Early Years Care and Education,307,348
"Athlone Institute of Technology",AL870,Applied Psychology,409,445
"Institute of Technology, Carlow",CW018,Business (options, Wexford),327,349
"Institute of Technology, Carlow",CW028,Early Childhood Education and Care (Wexford),252,308
"Institute of Technology, Carlow",CW038,Art (portfolio, Wexford),#700,700
"Institute of Technology, Carlow",CW058,Tourism and Event Management (Wexford),252,262
"Institute of Technology, Carlow",CW068,Applied Social Studies - Professional Social Care (Wexford),251,280
"Institute of Technology, Carlow",CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320
"Institute of Technology, Carlow",CW088,Visual Communications and Design (Wexford),309,345
"Institute of Technology, Carlow",CW108,Science (options),261,326
"Institute of Technology, Carlow",CW128,Brewing and Distilling,271,298
"Institute of Technology, Carlow",CW178,Sport Science (options),399,424
"Institute of Technology, Carlow",CW188,Sport Rehabilitation and Athletic Therapy,454,473
"Institute of Technology, Carlow",CW208,Computer Games Development,281,338
"Institute of Technology, Carlow",CW238,Software Development,300,343
"Institute of Technology, Carlow",CW248,Information Technology Management,307,357
"Institute of Technology, Carlow",CW258,Cybercrime and IT Security,300,328
"Institute of Technology, Carlow",CW268,Computing in Interactive Digital Art and Design,274,321
"Institute of Technology, Carlow",CW438,Construction (options),271,308
"Institute of Technology, Carlow",CW468,Architectural Technology,252,290
"Institute of Technology, Carlow",CW478,Civil Engineering,348,383
"Institute of Technology, Carlow",CW548,Mechanical Engineering,310,351
"Institute of Technology, Carlow",CW558,Electronic Systems,279,338
"Institute of Technology, Carlow",CW568,Aerospace Engineering,366,422
"Institute of Technology, Carlow",CW578,TV and Media Production,327,361
"Institute of Technology, Carlow",CW708,Law - LLB,298,328
"Institute of Technology, Carlow",CW728,Product Design Innovation,286,355
"Institute of Technology, Carlow",CW748,Early Childhood Education and Care,265,338
"Institute of Technology, Carlow",CW758,Applied Social Studies - Professional Social Care,290,319
"Institute of Technology, Carlow",CW808,Media and Public Relations,248,307
"Institute of Technology, Carlow",CW848,Digital Marketing with Analytics,279,307
"Institute of Technology, Carlow",CW858,Sports Management and Coaching (options, portfolio),#700,700
"Institute of Technology, Carlow",CW908,Business (options),260,307
"Institute of Technology, Carlow",CW938,Business with Law,270,288
"Institute of Technology, Carlow",CW948,Accounting,301,408
"Carlow College, St. Patrick's",PC405,Social, Political and Community Studies,251,296
"Carlow College, St. Patrick's",PC410,Arts and Humanities (fulfils Teaching Council requirements),203,289
"Carlow College, St. Patrick's",PC411,English and History (fulfils Teaching Council requirements),168,289 ,
"Cork Institute of Technology",CR105,Chemical and Biopharmaceutical Engineering,432,498
"Cork Institute of Technology",CR106,Software Development,351,393
"Cork Institute of Technology",CR108,Mechanical Engineering,425,487
"Cork Institute of Technology",CR109,Structural Engineering,341,467
"Cork Institute of Technology",CR110,Automotive Business Management and Technology,318,347
"Cork Institute of Technology",CR112,Creative Digital Media,335,389
"Cork Institute of Technology",CR116,Computer Systems,318,381
"Cork Institute of Technology",CR121,Music at CIT Cork School of Music,#633,1052
"Cork Institute of Technology",CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,#972,1021
"Cork Institute of Technology",CR126,Popular Music: Drums at CIT Cork School of Music,#878,1043
"Cork Institute of Technology",CR127,Popular Music: Electric Guitar at CIT Cork School of Music,#584,761
"Cork Institute of Technology",CR128,Popular Music: Keyboards at CIT Cork School of Music,#839,1009
"Cork Institute of Technology",CR129,Popular Music: Voice at CIT Cork School of Music,#857,927
"Cork Institute of Technology",CR130,Musical Theatre,#500,600
"Cork Institute of Technology",CR150,Business Information Systems,326,371
"Cork Institute of Technology",CR210,Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford,#979,979
"Cork Institute of Technology",CR220,Fine Art at CIT Crawford College of Art and Design,#620,819
"Cork Institute of Technology",CR225,Photography with New Media,#920,920
"Cork Institute of Technology",CR305,Physical Sciences (Common Entry),279,309
"Cork Institute of Technology",CR310,IT Management,282,317
"Cork Institute of Technology",CR320,Biomedical Science (Offered jointly by CIT and UCC),546,556
"Cork Institute of Technology",CR325,Pharmaceutical Biotechnology,388,422
"Cork Institute of Technology",CR333,Nutrition and Health Science,360,393
"Cork Institute of Technology",CR335,Biological Sciences (Common Entry),381,419
"Cork Institute of Technology",CR340,Analytical Chemistry with Quality Assurance,288,315
"Cork Institute of Technology",CR360,Instrument Engineering,291,329
"Cork Institute of Technology",CR365,Environmental Science and Sustainable Technology,334,362
"Cork Institute of Technology",CR370,Agri-Biosciences,408,431
"Cork Institute of Technology",CR400,Accounting,316,389
"Cork Institute of Technology",CR420,Marketing,288,329
"Cork Institute of Technology",CR425,International Business with Language,300,392
"Cork Institute of Technology",CR500,Engineering (Common Entry),381,424
"Cork Institute of Technology",CR510,Sustainable Energy Engineering,319,343
"Cork Institute of Technology",CR520,Biomedical Engineering,434,477
"Cork Institute of Technology",CR560,Architectural Technology,288,332
"Cork Institute of Technology",CR565,Interior Architecture,336,390
"Cork Institute of Technology",CR570,Quantity Surveying,279,342
"Cork Institute of Technology",CR572,Construction Management,253,300
"Cork Institute of Technology",CR580,Electrical Engineering,344,374
"Cork Institute of Technology",CR590,Electronic Engineering,342,411
"Cork Institute of Technology",CR600,Visual Communications,#587,888
"Cork Institute of Technology",CR660,Tourism Management,249,290
"Cork Institute of Technology",CR700,Theatre and Drama Studies at CIT Cork School of Music,#768,906 ,
"University College Cork (NUI)",CK101,Arts - 3 years,300,368
"University College Cork (NUI)",CK102,Social Science,391,431
"University College Cork (NUI)",CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int'l Pathway),#340,409
"University College Cork (NUI)",CK105,Film and Screen Media - 3 years or 4 years (International Pathway),397,442
"University College Cork (NUI)",CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int'l Pathway),326,388
"University College Cork (NUI)",CK108,Arts International - 4 years,429,466
"University College Cork (NUI)",CK109,English - 3 years or 4 years (International Pathway),347,423
"University College Cork (NUI)",CK110,World Languages,456,506
"University College Cork (NUI)",CK111,Early Years and Childhood Studies,398,429
"University College Cork (NUI)",CK112,Theatre and Performative Practices - 3 or 4 years (Int'l Pathway),#324,470
"University College Cork (NUI)",CK113,Criminology - 3 years or 4 years (International Pathway),408,430
"University College Cork (NUI)",CK114,Social Science (Youth and Community Work) - 3 years,#,
"University College Cork (NUI)",CK115,Social Work - Mature Applicants only,#,
"University College Cork (NUI)",CK116,Sports Studies and Physical Education,499,520
"University College Cork (NUI)",CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int'l Pathway),307,361
"University College Cork (NUI)",CK120,Applied Psychology,506,532
"University College Cork (NUI)",CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393,466
"University College Cork (NUI)",CK122,Government and Political Science,355,410
"University College Cork (NUI)",CK201,Commerce,465*,489
"University College Cork (NUI)",CK202,Accounting,467,506
"University College Cork (NUI)",CK203,Business Information Systems,409,444
"University College Cork (NUI)",CK204,Finance,531,555
"University College Cork (NUI)",CK205,Commerce (International) with French,409,473
"University College Cork (NUI)",CK206,Commerce (International) with German,408,446
"University College Cork (NUI)",CK207,Commerce (International) with Italian,408,425
"University College Cork (NUI)",CK208,Commerce (International) with Hispanic Studies,431,455
"University College Cork (NUI)",CK209,Commerce (International) with Irish,509,528
"University College Cork (NUI)",CK211,Commerce (International) with Chinese Studies,398,420
"University College Cork (NUI)",CK212,Economics (Transformational Learning) - 3 or 4 years (Int'l Pathway),400,429
"University College Cork (NUI)",CK301,Law (Pathways) -  3 or 4 years,476,519
"University College Cork (NUI)",CK302,Law and French,453,531
"University College Cork (NUI)",CK304,Law and Irish,462,510
"University College Cork (NUI)",CK307,Law and Business,522,554
"University College Cork (NUI)",CK401,Computer Science,402,456
"University College Cork (NUI)",CK402,Biological and Chemical Sciences,498,520
"University College Cork (NUI)",CK404,Biological, Earth and Environmental Sciences,412,451
"University College Cork (NUI)",CK405,Genetics,476,496
"University College Cork (NUI)",CK406,Chemical Sciences,457,488
"University College Cork (NUI)",CK407,Mathematical Sciences,531,578
"University College Cork (NUI)",CK408,Physics and Astrophysics,511,566
"University College Cork (NUI)",CK409,Industrial Physics (offered jointly by UCC and CIT),413,532
"University College Cork (NUI)",CK411,Data Science and Analytics,509,542,
"University College Cork (NUI)",CK412,Agricultural Science,457,509
"University College Cork (NUI)",CK502,Food Marketing and Entrepreneurship,433,456
"University College Cork (NUI)",CK504,Nutritional Sciences,492,509
"University College Cork (NUI)",CK505,Food Science,444,477
"University College Cork (NUI)",CK506,International Development and Food Policy,367,410
"University College Cork (NUI)",CK600,Engineering,465,532
"University College Cork (NUI)",CK606,Architecture (offered jointly by UCC and CIT),465,496
"University College Cork (NUI)",CK701,Medicine (Undergraduate Entry - HPAT required),#729,740
"University College Cork (NUI)",CK702,Dentistry,590,613
"University College Cork (NUI)",CK703,Pharmacy,577,589
"University College Cork (NUI)",CK704,Occupational Therapy,532*,554
"University College Cork (NUI)",CK705,Speech and Language Therapy,509,529
"University College Cork (NUI)",CK706,Public Health Sciences,419,451
"University College Cork (NUI)",CK707,Medical and Health Sciences,510*,543
"University College Cork (NUI)",CK710,General Nursing,440,466
"University College Cork (NUI)",CK712,Children's and General Nursing (Integrated),499,520
"University College Cork (NUI)",CK720,Mental Health Nursing,398,429
"University College Cork (NUI)",CK730,Intellectual Disability Nursing,359,388
"University College Cork (NUI)",CK740,Midwifery,444,474
"University College Cork (NUI)",CK791,Medicine  - Graduate Entry (GAMSAT required),#58*,59 , ,
"American College",AC120,International Business,234,269
"American College",AC137,Liberal Arts,252,275, ,
"CCT College Dublin",CT125,Information Technology,235,280
"Marino Institute of Education",CM001,Education - Primary Teaching,452*,462
"Marino Institute of Education",CM002,Education - Primary Teaching - Gaeltacht Applicants,#421,440
"Marino Institute of Education",CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,#491,506
"Marino Institute of Education",CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),#492,569
"Marino Institute of Education",CM010,Education Studies,317,373
"Marino Institute of Education",CM020,Early Childhood Education,336,363, ,
"Dublin Business School",DB500,Computing,242,320
"Dublin Business School",DB501,Computing (Cloud Computing),326,329
"Dublin Business School",DB502,Computing (Data Analytics and Big Data),269,269
"Dublin Business School",DB503,Computing (Software Development),242,282
"Dublin Business School",DB504,Computing (Web and Mobile Technology),227,269
"Dublin Business School",DB510,Audio Production and Music Project Management,233,293
"Dublin Business School",DB512,Business Studies,229,301
"Dublin Business School",DB514,Business Studies (Law),269,337
"Dublin Business School",DB515,Business Studies (Human Resource Management),225,288
"Dublin Business School",DB516,Financial Services,328,336
"Dublin Business School",DB517,Event Management,226,327
"Dublin Business School",DB518,Marketing (Digital Media),210,289
"Dublin Business School",DB521,Accounting and Finance,225,271
"Dublin Business School",DB524,Business Information Systems,402,402
"Dublin Business School",DB525,Marketing (Digital Media and Cloud Computing),284,309
"Dublin Business School",DB526,Business Information Systems (Cloud Computing),253,288
"Dublin Business School",DB527,Applied Social Care,235,288
"Dublin Business School",DB531,Marketing,220,288
"Dublin Business School",DB562,Psychology,208,310
"Dublin Business School",DB566,Social Science,216,308
"Dublin Business School",DB567,Film,192,295
"Dublin Business School",DB568,Law,245,308
"Dublin Business School",DB569,Business (Psychology),279,338 ,, ,
"Dublin City University",DC001,Education - Early Childhood Education,398,424
"Dublin City University",DC002,Education - Primary Teaching,462*,485
"Dublin City University",DC003,Education - Primary Teaching - Gaeltacht Applicants,#433,473
"Dublin City University",DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),#357,
"Dublin City University",DC005,Education - Primary Teaching - Irish Sign Language,#316,316
"Dublin City University",DC009,Arts (Joint Honours) - Humanities,347,408
"Dublin City University",DC010,Post Primary Teacher Education - Religious Education and English,386,413
"Dublin City University",DC011,Post Primary Teacher Education - Religious Education and History,352,389
"Dublin City University",DC012,Post Primary Teacher Education - Religious Education and Music,#367,415
"Dublin City University",DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509
"Dublin City University",DC014,BA in Jazz and Contemporary Music Performance,#428,590
"Dublin City University",DC110,Business Studies International,440,462
"Dublin City University",DC111,Business Studies,463,479
"Dublin City University",DC112,Global Business (France),495,510
"Dublin City University",DC113,Global Business (Germany),440,476
"Dublin City University",DC114,Global Business (Spain),501,543
"Dublin City University",DC115,Accounting and Finance,487,500
"Dublin City University",DC116,Global Business (USA),578,589
"Dublin City University",DC117,Aviation Management / Aviation Management with Pilot Studies,463,487
"Dublin City University",DC118,Gnó agus Gaeilge / Business and Irish,357,399
"Dublin City University",DC119,Global Business (Canada),566,577
"Dublin City University",DC120,Enterprise Computing,350,389
"Dublin City University",DC121,Computer Applications,370,418
"Dublin City University",DC123,Data Science,467,511
"Dublin City University",DC126,Actuarial Mathematics,520,543
"Dublin City University",DC127,Common Entry into Actuarial and Financial Mathematics,509,531
"Dublin City University",DC131,Communication Studies,400,441
"Dublin City University",DC132,Journalism,401,440
"Dublin City University",DC133,Multimedia,403,451
"Dublin City University",DC155,Applied Language and Translation Studies,371,430
"Dublin City University",DC161,Analytical Science,446,463
"Dublin City University",DC162,Chemical and Pharmaceutical Sciences,488,498
"Dublin City University",DC166,Environmental Science and Technology,412,442
"Dublin City University",DC167,Physics with Astronomy,434,477
"Dublin City University",DC168,Genetics and Cell Biology,489,500
"Dublin City University",DC171,Applied Physics,402,433
"Dublin City University",DC173,Physics with Biomedical Sciences,402,458
"Dublin City University",DC181,Biotechnology,476,488
"Dublin City University",DC190,Electronic and Computer Engineering (with choice of four majors),391,433
"Dublin City University",DC193,Mechatronic Engineering,404,445
"Dublin City University",DC195,Mechanical and Manufacturing Engineering,401,444
"Dublin City University",DC197,Biomedical Engineering,402,446
"Dublin City University",DC200,Common Entry into Engineering (Undenominated Entry),381,444
"Dublin City University",DC201,Common Entry into Science (Undenominated Entry),454,477
"Dublin City University",DC202,Sport Science and Health,467,476
"Dublin City University",DC203,Science Education,424,476
"Dublin City University",DC204,Athletic Therapy and Training,484,500
"Dublin City University",DC205,Physical Education with Biology,490,521
"Dublin City University",DC206,Physical Education with Mathematics,443,476
"Dublin City University",DC208,Psychology,509,521
"Dublin City University",DC209,Health and Society,419,440
"Dublin City University",DC215,General Nursing,414,443
"Dublin City University",DC216,Mental Health Nursing,368,389
"Dublin City University",DC217,Intellectual Disability Nursing,347,362
"Dublin City University",DC218,Children's and General Nursing (Integrated),467,480
"Dublin City University",DC230,Economics, Politics and Law,400,431
"Dublin City University",DC231,International Relations,387,445
"Dublin City University",DC232,Law and Society (BCL),453,487
"Dublin City University",DC235,Education and Training - Daytime Delivery Mode (full-time),307,327
"Dublin City University",DC238,Social Sciences and Cultural Innovation,358,388
"Dublin City University",DC240,Marketing, Innovation and Technology,451,474
"Dublin City University",DC291,Arts (Joint Honours) - Media Studies,349,392
"Dublin City University",DC292,Arts (Joint Honours) - Law,356,388
"Dublin City University",DC293,Arts (Joint Honours) - International Languages,369,400
"Dublin City University",DC295,Arts (Joint Honours) - Politics,348,387
"Technological University Dublin City Campus",DT001,Product Design,433,464
"Technological University Dublin City Campus",DT028,Transport Operations and Technology,279,348
"Technological University Dublin City Campus",DT035,Electrical Services and Energy Management,293,340
"Technological University Dublin City Campus",DT066,Engineering (General Entry),400,457
"Technological University Dublin City Campus",DT101,Architecture (test and interview),#618,647
"Technological University Dublin City Campus",DT106,Planning and Environmental Management,312,337
"Technological University Dublin City Campus",DT110,Property Economics (Valuation Surveying),367,424
"Technological University Dublin City Campus",DT111,Quantity Surveying and Construction Economics,391,421
"Technological University Dublin City Campus",DT112,Geographic Science,287,335
"Technological University Dublin City Campus",DT117,Construction Management,356,373
"Technological University Dublin City Campus",DT175,Architectural Technology,388,425
"Technological University Dublin City Campus",DT201,Science (General Entry),464,477
"Technological University Dublin City Campus",DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403
"Technological University Dublin City Campus",DT204,Biomedical Science,501,512
"Technological University Dublin City Campus",DT205,Mathematical Sciences,315,363
"Technological University Dublin City Campus",DT206,Biomedical and Molecular Diagnostics,473,487
"Technological University Dublin City Campus",DT211,Computer Science (Infrastructure),381,414
"Technological University Dublin City Campus",DT220,Industrial Mathematics,300,317
"Technological University Dublin City Campus",DT221,Physics with Energy and Environment,348,436
"Technological University Dublin City Campus",DT222,Physics Technology,321,371
"Technological University Dublin City Campus",DT223,Human Nutrition and Dietetics,553,566
"Technological University Dublin City Campus",DT224,Optometry,487,529
"Technological University Dublin City Campus",DT225,Public Health Nutrition,440,476
"Technological University Dublin City Campus",DT227,Science with Nanotechnology,312,361
"Technological University Dublin City Campus",DT228,Computer Science,451,466
"Technological University Dublin City Campus",DT229,Clinical Measurement Science,491,509
"Technological University Dublin City Campus",DT235,Physics with Medical Physics and Bioengineering,357,403
"Technological University Dublin City Campus",DT282,Computer Science (International),377,402
"Technological University Dublin City Campus",DT299,Chemical Sciences with Medicinal Chemistry,420,445
"Technological University Dublin City Campus",DT302,Business Analytics,325,403
"Technological University Dublin City Campus",DT304,E-Commerce in Retailing,341,388
"Technological University Dublin City Campus",DT321,Business and Law,462,478
"Technological University Dublin City Campus",DT341,Marketing,400,419
"Technological University Dublin City Campus",DT343,Retail and Services Management,301,332
"Technological University Dublin City Campus",DT354,Business Computing,322,341
"Technological University Dublin City Campus",DT358,Logistics and Supply Chain Management,300,359
"Technological University Dublin City Campus",DT365,Business and Management,440,456
"Technological University Dublin City Campus",DT366,Accounting and Finance,432,454
"Technological University Dublin City Campus",DT398,Human Resource Management,375,388
"Technological University Dublin City Campus",DT399,Economics and Finance,437,465
"Technological University Dublin City Campus",DT401,International Hospitality Management,300,337
"Technological University Dublin City Campus",DT405,Culinary Science,308,377
"Technological University Dublin City Campus",DT407,Culinary Arts,271,342
"Technological University Dublin City Campus",DT412,Tourism Marketing,284,322
"Technological University Dublin City Campus",DT413,Event Management,356,389
